bankerId,bankerName,bankerEmail,customerId
1,Michael,Michael@bank.com,101
2,Ramsey,Ramsey@bank.com,102
3,Jenny,Jenny@bank.com,103
4,Lenny,Lenny@bank.com,104
5,Rohilla,Rohilla@bank.com,105
6,Alok,Alok@bank.com,106
7,Kazam,sir@bank.com,107
8,Urvin,urvil@bank.com,108
9,Grema,greame@bank.com,109
10,Joy,jaul@bank.com,110
11,Michael,Michael@bank.com,111
12,Ramsey,Ramsey@bank.com,112
13,Jenny,Jenny@bank.com,113
14,Lenny,Lenny@bank.com,114
15,Rohilla,Rohilla@bank.com,115
16,Alok,Alok@bank.com,116
17,Kazam,sir@bank.com,117
18,Urvin,urvil@bank.com,118
19,Grema,greame@bank.com,119
20,Joy,jaul@bank.com,120
21,Michael,Michael@bank.com,121
22,Ramsey,Ramsey@bank.com,122
23,Jenny,Jenny@bank.com,123
24,Lenny,Lenny@bank.com,124
25,Rohilla,Rohilla@bank.com,125
26,Alok,Alok@bank.com,126
27,Kazam,sir@bank.com,127
28,Urvin,urvil@bank.com,128
29,Grema,greame@bank.com,129
30,Joy,jaul@bank.com,130
31,Michael,Michael@bank.com,131
32,Ramsey,Ramsey@bank.com,132
33,Jenny,Jenny@bank.com,133
34,Lenny,Lenny@bank.com,134
35,Rohilla,Rohilla@bank.com,135
36,Alok,Alok@bank.com,136
37,Kazam,sir@bank.com,137
38,Urvin,urvil@bank.com,138
39,Grema,greame@bank.com,139
40,Joy,jaul@bank.com,140
41,Michael,Michael@bank.com,141
42,Ramsey,Ramsey@bank.com,142
43,Jenny,Jenny@bank.com,143
44,Lenny,Lenny@bank.com,144
45,Rohilla,Rohilla@bank.com,145
46,Alok,Alok@bank.com,146
47,Kazam,sir@bank.com,147
48,Urvin,urvil@bank.com,148
49,Grema,greame@bank.com,149
50,Joy,jaul@bank.com,150
51,Michael,Michael@bank.com,151
52,Ramsey,Ramsey@bank.com,152
53,Jenny,Jenny@bank.com,153
54,Lenny,Lenny@bank.com,154
55,Rohilla,Rohilla@bank.com,155
56,Alok,Alok@bank.com,156
57,Kazam,sir@bank.com,157
58,Urvin,urvil@bank.com,158
59,Grema,greame@bank.com,159
60,Joy,jaul@bank.com,160
61,Michael,Michael@bank.com,161
62,Ramsey,Ramsey@bank.com,162
63,Jenny,Jenny@bank.com,163
64,Lenny,Lenny@bank.com,164
65,Rohilla,Rohilla@bank.com,165
66,Alok,Alok@bank.com,166
67,Kazam,sir@bank.com,167
68,Urvin,urvil@bank.com,168
69,Grema,greame@bank.com,169
70,Joy,jaul@bank.com,170
71,Michael,Michael@bank.com,171
72,Ramsey,Ramsey@bank.com,172
73,Jenny,Jenny@bank.com,173
74,Lenny,Lenny@bank.com,174
75,Rohilla,Rohilla@bank.com,175
76,Alok,Alok@bank.com,176
77,Kazam,sir@bank.com,177
78,Urvin,urvil@bank.com,178
79,Grema,greame@bank.com,179
80,Joy,jaul@bank.com,180
81,Michael,Michael@bank.com,181
82,Ramsey,Ramsey@bank.com,182
83,Jenny,Jenny@bank.com,183
84,Lenny,Lenny@bank.com,184
85,Rohilla,Rohilla@bank.com,185
86,Alok,Alok@bank.com,186
87,Kazam,sir@bank.com,187
88,Urvin,urvil@bank.com,188
89,Grema,greame@bank.com,189
90,Joy,jaul@bank.com,190
91,Michael,Michael@bank.com,191
92,Ramsey,Ramsey@bank.com,192
93,Jenny,Jenny@bank.com,193
94,Lenny,Lenny@bank.com,194
95,Rohilla,Rohilla@bank.com,195
96,Alok,Alok@bank.com,196
97,Kazam,sir@bank.com,197
98,Urvin,urvil@bank.com,198
99,Grema,greame@bank.com,199
100,Joy,jaul@bank.com,200
